Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C17, C19, C22, C24, C27, C3, C45, C49, C5, C53, C58, C8, C9",0402,20,100n,
"C16, C21",0402,2,1u,
"C2, C20, C23, C26, C4, C40",0603,6,10u,
C25,CP_Elec_6.3x5.4,1,100µ 16V,
"C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C41, C42, C43, C44",0603,16,470p,
C56,CP_Radial_D30.0mm_P10.00mm_SnapIn,1,3300µ 63V,
C57,0603,1,100n 50V,
"C6, C7",0402,2,27pF,
"D1, D2",D_SOD-323,2,SD15,
"D10, D11, D12, D13, D14, D7, D8, D9",D_SMA,8,MRA4004T3G,
D15,D_SMA,1,SMAJ60,
"D16, D4",D_SOD-323,2,1A,
D3,0805,1,LED gn,
D5,D_SMA,1,SMAJ5.0,
D6,D_SOD-323,1,SD05,
F2,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,T6A,
"J1, J10, J11, J5, J6, J7, J8, J9",Terminal_Block_RTMPin,8,Conn_01x06,
J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
"JP1, JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Open,
"Q1, Q10, Q11, Q12, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,20,2N7002,
"Q13, Q14, Q15, Q16",SOT-23,4,AO3400A,
"Q25, Q26, Q27, Q28, Q29, Q30, Q31, Q32",TO-252-3_TabPin4,8,NCE0140KA,
"R1, R26, R33, R36, R37, R38, R39, R42, R43, R44, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R7, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R85, R86, R87, R91, R92, R96, R97",0603,46,10k,
"R10, R11",0402,2,27,
"R12, R16, R20, R6",0402,4,1k,
R13,0603,1,33k,
"R14, R18, R19, R23",0603,4,2k,
"R15, R2, R82, R83, R84, R88, R89, R90, R93, R94, R95",0603,11,100R,
R17,0603,1,5k,
R21,0603,1,470,
"R22, R34, R35, R40, R41",0603,5,3k,
"R24, R25",0603,2,5k1,
"R27, R28, R29, R30, R31, R32, R45, R46, R47, R48, R49, R50, R67, R68, R69, R70",0603,16,330,
"R3, R5",0402,2,620,
R4,0603,1,120R,
R9,0603,1,0,
SW1,SW_SPST_SKQG_WithStem,1,Reset,
SW2,SW_SPST_SKQG_WithStem,1,Boot,
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,ADDRESS,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADM3483,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOT-23-5,1,LMV321,
U5,SOT-23-5,1,SN74AHCT1G125,
U6,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,18pF",
