Designator,Mid X,Mid Y,Rotation,Layer
C1,28.448,84.455,270.0,top
C10,40.546,64.578,90.0,top
C11,54.794,41.972,0.0,top
C12,37.522,61.022,90.0,top
C13,35.518,55.307,180.0,top
C14,43.11,49.592,270.0,top
C15,48.698,55.346,0.0,top
C16,44.624,62.958,90.0,top
C17,47.404,60.41,0.0,top
C19,41.562,64.578,90.0,top
C2,35.49,79.31,180.0,top
C20,46.896,62.45,90.0,top
C21,45.626,62.958,90.0,top
C22,51.181,89.978,270.0,top
C23,57.067,83.444,180.0,top
C24,64.192,83.12,180.0,top
C25,46.99,86.36,90.0,top
C26,57.207,77.659,180.0,top
C27,54.5146,81.9262,270.0,top
C28,15.892,80.362,180.0,top
C29,15.892,77.06,180.0,top
C3,42.094,75.754,270.0,top
C30,15.892,73.504,180.0,top
C31,15.892,69.948,180.0,top
C32,15.892,66.646,180.0,top
C33,15.892,63.09,180.0,top
C34,15.892,56.086,180.0,top
C35,15.72,52.578,180.0,top
C36,15.892,49.12,180.0,top
C37,15.892,45.418,180.0,top
C38,15.892,42.008,180.0,top
C39,15.892,38.452,180.0,top
C4,41.586,68.896,0.0,top
C40,12.884,9.496,180.0,top
C41,15.892,33.118,180.0,top
C42,15.892,27.494,180.0,top
C43,15.932,20.382,180.0,top
C44,15.892,13.052,180.0,top
C45,65.744,64.578,0.0,top
C49,61.398,47.052,0.0,top
C5,35.744,70.42,180.0,top
C53,59.112,30.288,0.0,top
C57,60.636,9.714,90.0,top
C58,65.716,76.262,180.0,top
C6,37.498,49.112,90.0,top
C7,42.07,48.226,90.0,top
C8,41.148,93.218,180.0,top
C9,44.126,50.1,270.0,top
D1,33.844,84.328,270.0,top
D10,84.0,38.05,90.0,top
D11,84.0,46.05,90.0,top
D12,84.0,54.05,90.0,top
D13,84.0,20.05,90.0,top
D14,84.0,28.05,90.0,top
D15,60.0,4.507,270.0,top
D16,66.04,85.09,0.0,top
D2,31.7,84.328,270.0,top
D3,55.048,62.8,180.0,top
D4,58.525,89.316,90.0,top
D5,61.906,87.184,270.0,top
D6,71.97,85.073,0.0,top
D7,84.0,64.05,90.0,top
D8,83.84056,72.0169,90.0,top
D9,84.0,80.05,90.0,top
J4,55.81,95.82,180.0,top
Q1,20.972,81.378,0.0,top
Q10,20.972,46.326,0.0,top
Q11,20.972,42.77,0.0,top
Q12,20.972,39.214,0.0,top
Q13,19.448,35.15,0.0,top
Q14,19.448,28.038,0.0,top
Q15,19.448,20.926,0.0,top
Q16,19.448,13.306,0.0,top
Q17,19.448,31.594,0.0,top
Q18,19.448,24.482,0.0,top
Q19,19.488,17.334,0.0,top
Q2,22.496,77.822,0.0,top
Q20,19.488,9.714,0.0,top
Q21,23.258,35.15,90.0,top
Q22,23.258,28.038,90.0,top
Q23,23.298,20.89,90.0,top
Q24,23.298,13.016,90.0,top
Q25,76.141,64.05,0.0,top
Q26,76.141,72.05,0.0,top
Q27,76.141,80.05,0.0,top
Q28,76.141,38.05,0.0,top
Q29,76.141,46.05,0.0,top
Q3,22.496,74.266,0.0,top
Q30,76.141,54.05,0.0,top
Q31,76.141,20.05,0.0,top
Q32,76.141,28.05,0.0,top
Q4,20.972,70.71,0.0,top
Q5,20.972,67.154,0.0,top
Q6,20.972,63.598,0.0,top
Q7,20.972,56.994,0.0,top
Q8,20.8,53.34,0.0,top
Q9,20.972,49.882,0.0,top
R1,55.302,60.768,0.0,top
R10,42.578,63.593,270.0,top
R11,43.594,63.593,270.0,top
R12,42.094,50.354,90.0,top
R13,55.302,36.638,0.0,top
R14,55.302,35.114,180.0,top
R15,48.42,62.45,270.0,top
R16,54.794,33.209,0.0,top
R17,55.556,44.512,90.0,top
R18,40.062,38.67,180.0,top
R19,40.062,36.892,180.0,top
R2,29.718,84.486,270.0,top
R20,40.824,32.828,90.0,top
R21,51.492,58.228,90.0,top
R22,53.016,45.274,180.0,top
R23,40.062,40.956,0.0,top
R24,56.572,89.47,270.0,top
R25,52.762,88.962,270.0,top
R26,60.128,81.088,270.0,top
R27,15.908742,81.886,0.0,top
R28,15.892,78.584,0.0,top
R29,15.892,75.028,0.0,top
R3,38.989,83.439,90.0,top
R30,15.892,71.472,0.0,top
R31,15.892,68.17,0.0,top
R32,15.892,64.614,0.0,top
R33,18.178,81.124,270.0,top
R34,18.178,77.822,270.0,top
R35,18.178,74.266,270.0,top
R36,18.178,70.71,270.0,top
R37,18.178,67.408,270.0,top
R38,18.178,63.852,270.0,top
R39,23.766,81.378,90.0,top
R4,36.83,83.185,0.0,top
R40,25.29,77.822,90.0,top
R41,25.29,74.266,90.0,top
R42,23.806,70.71,90.0,top
R43,23.806,67.118,90.0,top
R44,23.806,63.562,90.0,top
R45,15.892,57.5975,0.0,top
R46,15.72,54.102,0.0,top
R47,15.892,50.644,0.0,top
R48,15.892,47.088,0.0,top
R49,15.892,43.5,0.0,top
R5,37.846,94.488,90.0,top
R50,15.892,39.978,0.0,top
R51,18.178,56.816,270.0,top
R52,18.006,53.34,270.0,top
R53,18.178,49.882,270.0,top
R54,18.178,46.326,270.0,top
R55,18.178,42.77,270.0,top
R56,18.178,39.214,270.0,top
R57,23.703,56.994,90.0,top
R58,23.594,53.34,90.0,top
R59,23.766,49.882,90.0,top
R6,51.238,71.436,270.0,top
R60,23.766,46.29,90.0,top
R61,23.766,42.77,90.0,top
R62,23.766,39.214,90.0,top
R63,15.892,34.642,180.0,top
R64,15.892,29.018,180.0,top
R65,15.932,21.906,180.0,top
R66,15.892,14.576,180.0,top
R67,15.892,31.594,0.0,top
R68,15.892,25.97,0.0,top
R69,15.932,18.858,0.0,top
R7,51.492,67.88,90.0,top
R70,15.892,11.528,0.0,top
R71,23.766,31.594,90.0,top
R72,23.766,24.482,90.0,top
R73,23.806,17.334,90.0,top
R74,23.806,9.46,90.0,top
R75,22.242,31.594,90.0,top
R76,22.242,24.482,90.0,top
R77,22.282,17.334,90.0,top
R78,22.282,9.46,90.0,top
R79,68.591,64.6375,180.0,top
R8,32.442,77.532,270.0,top
R80,68.591,72.4625,180.0,top
R81,68.591,80.05,180.0,top
R82,68.591,66.356,0.0,top
R83,68.591,74.225,0.0,top
R84,68.591,82.05,0.0,top
R85,68.653742,38.55,180.0,top
R86,68.591,46.55,180.0,top
R87,68.591,54.4625,180.0,top
R88,68.653742,40.55,0.0,top
R89,68.591,48.55,0.0,top
R9,32.442,74.23,270.0,top
R90,68.591,56.4625,0.0,top
R91,68.741,20.55,180.0,top
R92,68.653742,28.5725,180.0,top
R93,68.741,22.4125,0.0,top
R94,68.653742,30.4625,0.0,top
R95,65.462,74.738,0.0,top
R96,43.561,92.518,0.0,top
R97,43.561,90.932,0.0,top
SW1,55.302,55.434,270.0,top
SW2,55.43,69.754,270.0,top
SW3,47.936,37.908,270.0,top
U1,37.776,75.754,270.0,top
U2,34.704,67.022,270.0,top
U3,42.348,56.704,0.0,top
U4,55.556,39.432,270.0,top
U5,63.176,80.834,180.0,top
U6,57.233,80.542,180.0,top
Y1,39.848,48.703,90.0,top
